item_encoded,total_observations,historical_shortage_prob,avg_shortage_qty,max_shortage_qty,total_shortage_qty,shortage_qty_7d_avg,shortage_qty_30d_avg,shortage_freq_7d,shortage_freq_30d,is_shortage
235,744,0.005376344086021506,0.08064516129032258,15.0,60.0,0.0,0.0,0.0,0.0,0
236,744,0.038978494623655914,0.9005376344086021,50.0,670.0,0.0,0.0,0.0,0.0,0
237,744,0.0013440860215053765,0.030913978494623656,23.0,23.0,0.0,0.0,0.0,0.0,0
238,744,0.01478494623655914,0.5739247311827957,95.0,427.0,0.0,0.0,0.0,0.0,0
239,744,0.009408602150537635,0.14112903225806453,15.0,105.0,0.0,0.0,0.0,0.0,0
240,744,0.006720430107526882,0.06048387096774194,9.0,45.0,0.0,0.0,0.0,0.0,0
241,744,0.010752688172043012,0.1478494623655914,20.0,110.0,0.0,0.0,0.0,0.0,0
242,744,0.01747311827956989,0.10752688172043011,68.0,80.0,0.0,0.0,0.0,0.0,0
243,744,0.036290322580645164,0.5094086021505376,40.0,379.0,0.0,0.0,0.0,0.0,0
244,744,0.009408602150537635,0.9556451612903226,106.0,711.0,0.0,0.0,0.0,0.0,0
245,744,0.009408602150537635,0.028225806451612902,3.0,21.0,0.0,0.0,0.0,0.0,0
246,753,0.07171314741035857,2.199203187250996,120.0,1656.0,0.0,0.0,0.0,0.0,0
247,744,0.010752688172043012,1.2943548387096775,416.0,963.0,0.0,0.0,0.0,0.0,0
248,744,0.03763440860215054,0.5645161290322581,15.0,420.0,0.0,0.0,0.0,0.0,0
249,744,0.056451612903225805,0.2647849462365591,13.0,197.0,0.0,0.0,0.0,0.0,0
250,744,0.025537634408602152,0.1532258064516129,21.0,114.0,0.0,0.0,0.0,0.0,0
251,744,0.0013440860215053765,20.853494623655912,15515.0,15515.0,0.0,0.0,0.0,0.0,0
252,744,0.008064516129032258,0.40860215053763443,80.0,304.0,0.0,0.0,0.0,0.0,0
253,744,0.004032258064516129,0.10887096774193548,27.0,81.0,0.0,0.0,0.0,0.0,0
254,744,0.002688172043010753,0.005376344086021506,2.0,4.0,0.0,0.0,0.0,0.0,0
255,744,0.2217741935483871,127.37768817204301,2528.0,94769.0,0.0,0.0,0.0,0.0,0
256,744,0.006720430107526882,0.8494623655913979,161.0,632.0,0.0,0.0,0.0,0.0,0
257,744,0.002688172043010753,0.056451612903225805,21.0,42.0,0.0,0.0,0.0,0.0,0
258,744,0.002688172043010753,0.012096774193548387,8.0,9.0,0.0,0.0,0.0,0.0,0
259,744,0.0013440860215053765,0.4946236559139785,368.0,368.0,0.0,0.0,0.0,0.0,0
260,744,0.02956989247311828,0.9193548387096774,227.0,684.0,0.0,0.0,0.0,0.0,0
261,744,0.0013440860215053765,0.006720430107526882,5.0,5.0,0.0,0.0,0.0,0.0,0
262,744,0.009408602150537635,0.026881720430107527,11.0,20.0,0.0,0.0,0.0,0.0,0
263,744,0.016129032258064516,1.353494623655914,185.0,1007.0,0.0,0.0,0.0,0.0,0
264,744,0.006720430107526882,0.47446236559139787,117.0,353.0,0.0,0.0,0.0,0.0,0
265,744,0.01881720430107527,11.82258064516129,1250.0,8796.0,0.0,120.76666666666667,0.0,0.1,0
266,744,0.012096774193548387,0.21774193548387097,18.0,162.0,0.0,0.0,0.0,0.0,0
267,744,0.01478494623655914,0.4260752688172043,49.0,317.0,0.0,0.0,0.0,0.0,0
268,744,0.020161290322580645,0.041666666666666664,3.0,31.0,0.0,0.0,0.0,0.0,0
269,744,0.002688172043010753,1.3239247311827957,494.0,985.0,0.0,0.0,0.0,0.0,0
270,744,0.0013440860215053765,0.5376344086021505,400.0,400.0,0.0,0.0,0.0,0.0,0
271,744,0.01747311827956989,0.2567204301075269,28.0,191.0,0.0,0.0,0.0,0.0,0
272,744,0.028225806451612902,0.0739247311827957,4.0,55.0,0.0,0.0,0.0,0.0,0
273,744,0.07795698924731183,2.103494623655914,101.0,1565.0,0.0,0.0,0.0,0.0,0
